customer_id,subject,body
CUST-1001,Duplicate charge on my account,"I've been charged twice for my subscription this month and nobody has responded to my last two emails. This is completely unacceptable and I want a refund immediately."
CUST-1002,Internet still broken after technician visit,"Your technician came to fix my internet last week and it's still not working properly. I've had to work from a coffee shop for three days now and I'm losing money because of this."
CUST-1003,Rude support call yesterday,"The staff member I spoke to on the phone yesterday was extremely rude and dismissive when I asked a simple question about my bill. I want this raised with a manager."
CUST-1004,Damaged replacement device,"I ordered a replacement device two weeks ago and it arrived damaged. This is the second time this has happened and I'm very frustrated with the quality control."
CUST-1005,Weekend support hours,"Hi, what are your customer support hours on weekends? I want to know if I can call in on a Saturday afternoon."
CUST-1006,Invoice due date,"Can you tell me when my next invoice is due and how I can view previous invoices online?"
CUST-1007,International roaming question,"Do you offer international roaming on the basic plan, or do I need to upgrade to get that?"
CUST-1008,Support tier differences,"What's the difference between the Standard and Premium support tiers? Just trying to understand before I decide."
CUST-1009,Update address and payment method,"I'd like to update the mailing address on my account and also switch my payment method to a new card, please let me know what you need from me."
CUST-1010,Cancel add-on package,"Please cancel my add-on data package effective next billing cycle and confirm once it's done."
CUST-1011,Plan upgrade request,"I need to upgrade my current plan to the higher tier and would like a callback to confirm pricing before it goes through."
CUST-1012,Transfer account to business entity,"Could you please transfer my account to my new business entity? I have the registration documents ready to send over."
CUST-1013,Network outage at clinic,"Our entire office network has been down for six hours and we are a healthcare clinic with patients waiting on urgent lab results. This needs to be fixed right now or we will be moving providers today."
CUST-1014,Account wrongly suspended,"I am extremely upset. My account was suspended by mistake and I have a payment due tomorrow morning that I now cannot make. If this isn't fixed within the hour I am contacting my lawyer."
CUST-1015,Possible account breach,"URGENT: there appears to be unauthorized access on my account, someone changed my password and I can no longer log in. Please help immediately, I think I've been hacked."
CUST-1016,Not sure what's wrong,"So basically the thing you sent me last time didn't really work and now I'm not sure what to do, maybe you can just sort it out or tell me who can, it's kind of urgent I guess but also I don't really know what's wrong exactly."
